date	close
2015-05-28	34.8
2015-05-27	34.95
2015-05-26	34.67
2015-05-22	34.71
2015-05-21	35.07
2015-05-20	34.62
2015-05-19	34.37
2015-05-18	34.87
2015-05-15	34.33
2015-05-14	34.13
2015-05-13	33.9
2015-05-12	33.66
2015-05-11	33.49
2015-05-08	33.69
2015-05-07	33.37
2015-05-06	33.38
2015-05-05	33.72
2015-05-04	34.53
2015-05-01	34.42
2015-04-30	34.64
2015-04-29	34.76
2015-04-28	34.86
2015-04-27	34.09
2015-04-24	34.01
2015-04-23	34.23
2015-04-22	32.86
2015-04-21	32.66
2015-04-20	32.83
2015-04-17	32.51
2015-04-16	32.75
2015-04-15	32.89
2015-04-14	32.69
2015-04-13	32.88
2015-04-10	32.77
2015-04-09	32.69
2015-04-08	32.65
2015-04-07	32.69
2015-04-06	32.85759
2015-04-02	32.66043
2015-04-01	32.42383
2015-03-31	32.18723
2015-03-30	32.50269
2015-03-27	32.28581
2015-03-26	32.35482
2015-03-25	32.15765
2015-03-24	32.60128
2015-03-23	32.8083
2015-03-20	32.75901
2015-03-19	32.72943
2015-03-18	33.11391
2015-03-17	32.43369
2015-03-16	32.59142
2015-03-13	32.29567
2015-03-12	32.66043
2015-03-11	32.15765
2015-03-10	32.31538
2015-03-09	32.87731
2015-03-06	33.00546
2015-03-05	33.51809
2015-03-04	33.51809
2015-03-03	33.92228
2015-03-02	34.14902
2015-02-27	34.07016
2015-02-26	34.01101
2015-02-25	33.72512
2015-02-24	33.56739
2015-02-23	33.37022
2015-02-20	33.59696
2015-02-19	33.60682
2015-02-18	34.00115
2015-02-17	34.21803
2015-02-13	34.16874
2015-02-12	34.11945
2015-02-11	33.90257
2015-02-10	34.35604
2015-02-09	34.14902
2015-02-06	34.37576
2015-02-05	34.05044
2015-02-04	33.92228
2015-02-03	33.85328
2015-02-02	33.08433
