date	close
2015-05-28	103.24
2015-05-27	103.11
2015-05-26	103.29
2015-05-22	104.89
2015-05-21	105.49
2015-05-20	105.25
2015-05-19	105.02
2015-05-18	106.65
2015-05-15	108.03
2015-05-14	107.38
2015-05-13	106.6374
2015-05-12	106.49878
2015-05-11	106.30076
2015-05-08	107.57803
2015-05-07	106.50868
2015-05-06	106.88493
2015-05-05	106.93444
2015-05-04	107.25128
2015-05-01	107.96418
2015-04-30	109.96425
2015-04-29	110.62764
2015-04-28	110.02366
2015-04-27	108.61766
2015-04-24	108.786
2015-04-23	108.885
2015-04-22	108.41964
2015-04-21	108.64738
2015-04-20	109.20184
2015-04-17	108.03349
2015-04-16	109.07314
2015-04-15	109.32066
2015-04-14	107.76615
2015-04-13	105.44924
2015-04-10	105.85519
2015-04-09	105.8948
2015-04-08	105.60767
2015-04-07	107.46912
2015-04-06	105.8651
2015-04-02	104.24127
2015-04-01	103.75611
2015-03-31	103.94424
2015-03-30	105.84529
2015-03-27	103.25114
2015-03-26	104.21157
2015-03-25	104.62743
2015-03-24	103.17193
2015-03-23	104.87496
2015-03-20	105.97401
2015-03-19	103.71651
2015-03-18	105.64726
2015-03-17	102.15209
2015-03-16	102.11249
2015-03-13	100.61739
2015-03-12	101.40949
2015-03-11	102.51845
2015-03-10	101.89466
2015-03-09	102.92439
2015-03-06	102.52835
2015-03-05	103.69671
2015-03-04	104.12247
2015-03-03	104.12247
2015-03-02	104.85516
2015-02-27	105.62746
2015-02-26	106.00372
2015-02-25	107.50872
2015-02-24	106.89484
2015-02-23	106.79582
2015-02-20	107.52852
2015-02-19	107.28098
2015-02-18	109.35037
2015-02-17	111.29103
2015-02-13	111.66727
2015-02-12	109.76622
2015-02-11	107.83546
2015-02-10	108.03156
2015-02-09	108.27669
2015-02-06	107.47268
2015-02-05	107.17852
2015-02-04	106.23724
2015-02-03	107.39423
2015-02-02	103.9919
