date	close
2015-05-28	33.65
2015-05-27	33.78
2015-05-26	33.38
2015-05-22	34.76
2015-05-21	33.83
2015-05-20	33.07
2015-05-19	33.4
2015-05-18	33.25
2015-05-15	33.6
2015-05-14	33.7
2015-05-13	33.3
2015-05-12	32.92
2015-05-11	33.7
2015-05-08	33.41
2015-05-07	32.82
2015-05-06	32.5
2015-05-05	33.16
2015-05-04	33.65
2015-05-01	33.8
2015-04-30	32.97
2015-04-29	33.32
2015-04-28	33.24
2015-04-27	33.07
2015-04-24	33.26
2015-04-23	33.38
2015-04-22	33.51
2015-04-21	33.21
2015-04-20	33.41
2015-04-17	32.53
2015-04-16	32.81
2015-04-15	33.04
2015-04-14	32.52
2015-04-13	32.7
2015-04-10	32.11
2015-04-09	31.55
2015-04-08	31.52
2015-04-07	31.42
2015-04-06	31.83
2015-04-02	31.4
2015-04-01	31.29
2015-03-31	31.16
2015-03-30	31.57
2015-03-27	31.49
2015-03-26	32.01
2015-03-25	32.2
2015-03-24	33.31
2015-03-23	33.45
2015-03-20	33.28
2015-03-19	32.84
2015-03-18	33.03
2015-03-17	32.43
2015-03-16	32.38
2015-03-13	32.43
2015-03-12	32.72
2015-03-11	32.61
2015-03-10	32.67
2015-03-09	32.95
2015-03-06	33.02
2015-03-05	33.83604
2015-03-04	34.02513
2015-03-03	34.4033
2015-03-02	34.75161
2015-02-27	34.67199
2015-02-26	33.846
2015-02-25	34.50281
2015-02-24	38.30439
2015-02-23	38.00584
2015-02-20	38.20488
2015-02-19	38.19492
2015-02-18	37.96603
2015-02-17	38.3442
2015-02-13	38.37406
2015-02-12	38.18497
2015-02-11	37.99589
2015-02-10	37.70729
2015-02-09	37.45849
2015-02-06	37.767
2015-02-05	37.767
2015-02-04	37.71724
2015-02-03	37.58787
2015-02-02	36.29414
