date	close
2015-05-28	171.71001
2015-05-27	172.0
2015-05-26	170.13
2015-05-22	172.22
2015-05-21	173.34
2015-05-20	173.75999
2015-05-19	173.48
2015-05-18	173.06
2015-05-15	173.25999
2015-05-14	174.05
2015-05-13	172.28
2015-05-12	170.55
2015-05-11	171.12
2015-05-08	172.67999
2015-05-07	170.99001
2015-05-06	170.05
2015-05-05	171.78
2015-05-04	172.66331
2015-05-01	172.36557
2015-04-30	170.00345
2015-04-29	173.09009
2015-04-28	172.61369
2015-04-27	169.44765
2015-04-24	168.50479
2015-04-23	168.96133
2015-04-22	164.11798
2015-04-21	163.02625
2015-04-20	164.91199
2015-04-17	159.46321
2015-04-16	161.90474
2015-04-15	162.89723
2015-04-14	161.08098
2015-04-13	161.16037
2015-04-10	161.63676
2015-04-09	161.12067
2015-04-08	160.63435
2015-04-07	160.85271
2015-04-06	160.82292
2015-04-02	159.24486
2015-04-01	157.98441
2015-03-31	159.29449
2015-03-30	161.4482
2015-03-27	159.19524
2015-03-26	159.3838
2015-03-25	158.00426
2015-03-24	161.77571
2015-03-23	163.39348
2015-03-20	161.65662
2015-03-19	158.60966
2015-03-18	158.60966
2015-03-17	155.78108
2015-03-16	155.90018
2015-03-13	153.1212
2015-03-12	156.79341
2015-03-11	155.62228
2015-03-10	156.62469
2015-03-09	159.56247
2015-03-06	157.30951
2015-03-05	159.96938
2015-03-04	158.2226
2015-03-03	159.82051
2015-03-02	159.27464
2015-02-27	160.72368
2015-02-26	159.66171
2015-02-25	161.58714
2015-02-24	163.59196
2015-02-23	161.68639
2015-02-20	162.42082
2015-02-19	162.65903
2015-02-18	160.9718
2015-02-17	159.75104
2015-02-13	159.19524
2015-02-12	157.32936
2015-02-11	157.01176
2015-02-10	157.36906
2015-02-09	154.58017
2015-02-06	155.54288
2015-02-05	155.63222
2015-02-04	154.69592
2015-02-03	156.18413
2015-02-02	152.42909
